crse_id,crse_attr,crse_attr_lov_descr,crse_attr_value,crse_attr_value_lov_descr
003526,REG,Registration Considerations,C,Crosslisted in another department
003526,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
003526,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
003557,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
003557,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
003557,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
003557,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
003557,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
003558,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
003569,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
003569,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
003569,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
003569,TRIN,A&S Curriculum,WR,(WR) Writing: A&S Curriculum
003570,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
003570,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
003570,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
009813,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
009813,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
009813,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
009813,REG,Registration Considerations,C,Crosslisted in another department
009813,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
009813,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
009816,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
009816,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
009816,REG,Registration Considerations,C,Crosslisted in another department
009816,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
009816,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
013027,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
013027,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
013027,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
013029,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
013029,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
013029,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
013031,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
013031,INTR,Interest Area,SL,Service Learning Course
013031,REG,Registration Considerations,C,Crosslisted in another department
013031,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
013031,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
013031,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
015755,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
015755,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
015755,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
015755,INTR,Interest Area,SL,Service Learning Course
015755,REG,Registration Considerations,C,Crosslisted in another department
015755,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
015755,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
015761,REG,Registration Considerations,C,Crosslisted in another department
016899,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
016899,CURR,Curriculum-Modes of Inquiry,FL,Foreign Languages curriculum course
016899,INTR,Interest Area,SL,Service Learning Course
016899,REG,Registration Considerations,C,Crosslisted in another department
016899,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
016899,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
016899,TRIN,A&S Curriculum,LG,(LG) Language: A&S Curriculum
017353,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
017353,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
017353,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
017875,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
017875,INTR,Interest Area,SL,Service Learning Course
017875,REG,Registration Considerations,C,Crosslisted in another department
017875,TRIN,A&S Curriculum,CE,(CE) Creating & Engaging with Art: A&S Curriculum
017875,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
019060,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
019060,REG,Registration Considerations,C,Crosslisted in another department
019060,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
019060,TRIN,A&S Curriculum,WR,(WR) Writing: A&S Curriculum
019060,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
019367,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
019367,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
019367,REG,Registration Considerations,C,Crosslisted in another department
019367,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
019367,TRIN,A&S Curriculum,NW,(NW) Investigating Natural World: A&S Curriculum
019367,USE,Curriculum-Areas of Knowledge,NS,(NS) Natural Sciences
019367,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
019576,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
019736,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
019736,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
019736,REG,Registration Considerations,C,Crosslisted in another department
019736,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
020170,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
020170,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
020170,REG,Registration Considerations,C,Crosslisted in another department
020170,REG,Registration Considerations,IN,Internet Course
020170,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
020459,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
020459,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
020459,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
020459,REG,Registration Considerations,C,Crosslisted in another department
020459,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
020504,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
020504,REG,Registration Considerations,C,Crosslisted in another department
020504,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
020504,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
020823,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
020823,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
020823,INTR,Interest Area,SL,Service Learning Course
020823,REG,Registration Considerations,C,Crosslisted in another department
020823,REG,Registration Considerations,G,Course has discussion
020823,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
020823,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
020823,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
021084,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
021084,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
021084,INTR,Interest Area,SL,Service Learning Course
021084,REG,Registration Considerations,C,Crosslisted in another department
021084,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
021084,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
022267,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
022267,INTR,Interest Area,SL,Service Learning Course
022459,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022459,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
022459,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
022479,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022479,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
022479,REG,Registration Considerations,C,Crosslisted in another department
022479,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
022479,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
023576,REG,Registration Considerations,C,Crosslisted in another department
023576,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
023576,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
023946,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
023946,REG,Registration Considerations,C,Crosslisted in another department
023957,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
023957,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
023957,REG,Registration Considerations,C,Crosslisted in another department
023957,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
023957,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
023957,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
024109,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
024109,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
024109,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
024109,REG,Registration Considerations,C,Crosslisted in another department
024109,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
024135,REG,Registration Considerations,C,Crosslisted in another department
024135,TRIN,A&S Curriculum,NW,(NW) Investigating Natural World: A&S Curriculum
024135,USE,Curriculum-Areas of Knowledge,NS,(NS) Natural Sciences
024160,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
024160,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
024160,REG,Registration Considerations,C,Crosslisted in another department
024160,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
024221,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
024221,INTR,Interest Area,SL,Service Learning Course
024221,REG,Registration Considerations,C,Crosslisted in another department
024221,REG,Registration Considerations,G,Course has discussion
024221,TRIN,A&S Curriculum,CE,(CE) Creating & Engaging with Art: A&S Curriculum
024221,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
024351,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
024351,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
024351,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
024351,REG,Registration Considerations,G,Course has discussion
024351,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
024351,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
024416,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
024416,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
024416,INTR,Interest Area,SL,Service Learning Course
024416,REG,Registration Considerations,C,Crosslisted in another department
024416,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
024416,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
024418,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
024418,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
024418,REG,Registration Considerations,C,Crosslisted in another department
024418,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
024418,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
024418,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
024432,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
024432,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
024432,INTR,Interest Area,SL,Service Learning Course
024432,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
024432,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
024696,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
024696,REG,Registration Considerations,C,Crosslisted in another department
024696,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
024711,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
024711,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
024711,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
024711,REG,Registration Considerations,C,Crosslisted in another department
024711,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
024711,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
024711,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
024858,REG,Registration Considerations,C,Crosslisted in another department
025349,REG,Registration Considerations,C,Crosslisted in another department
025349,TRIN,A&S Curriculum,NW,(NW) Investigating Natural World: A&S Curriculum
025349,USE,Curriculum-Areas of Knowledge,NS,(NS) Natural Sciences
025695,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
025695,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
025695,INTR,Interest Area,SL,Service Learning Course
025695,REG,Registration Considerations,C,Crosslisted in another department
025695,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
025929,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
025929,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
025929,INTR,Interest Area,SL,Service Learning Course
025929,REG,Registration Considerations,C,Crosslisted in another department
025929,REG,Registration Considerations,IN,Internet Course
025929,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
025929,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
026336,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
026336,REG,Registration Considerations,C,Crosslisted in another department
026336,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
026336,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
026739,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
026739,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
026739,INTR,Interest Area,SL,Service Learning Course
026739,REG,Registration Considerations,C,Crosslisted in another department
026739,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
026739,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
026901,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
026901,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
026901,REG,Registration Considerations,C,Crosslisted in another department
026901,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
026901,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
026901,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
027507,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
027507,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
027507,REG,Registration Considerations,C,Crosslisted in another department
027507,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
027507,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
027507,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
027510,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
027510,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
027510,INTR,Interest Area,SL,Service Learning Course
027510,REG,Registration Considerations,C,Crosslisted in another department
027510,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
027510,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
027510,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
027677,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
027677,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
027677,REG,Registration Considerations,G,Course has discussion
027677,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
027677,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
027677,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
027991,REG,Registration Considerations,G,Course has discussion
028209,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
028209,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
028209,REG,Registration Considerations,C,Crosslisted in another department
028209,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
028209,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
028519,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
028519,INTR,Interest Area,SL,Service Learning Course
028519,REG,Registration Considerations,G,Course has discussion
028519,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
028519,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
028828,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
028874,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
028874,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
028874,REG,Registration Considerations,C,Crosslisted in another department
028874,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
028878,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
028878,REG,Registration Considerations,C,Crosslisted in another department
028878,TRIN,A&S Curriculum,WR,(WR) Writing: A&S Curriculum
028880,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
028880,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
028880,REG,Registration Considerations,C,Crosslisted in another department
028880,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
028880,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
028913,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
028913,REG,Registration Considerations,C,Crosslisted in another department
028913,TRIN,A&S Curriculum,CE,(CE) Creating & Engaging with Art: A&S Curriculum
028913,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
028941,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
028941,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
029380,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
029380,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
029380,REG,Registration Considerations,C,Crosslisted in another department
029380,REG,Registration Considerations,G,Course has discussion
029461,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
029461,INTR,Interest Area,SL,Service Learning Course
029461,REG,Registration Considerations,C,Crosslisted in another department
029461,TRIN,A&S Curriculum,CE,(CE) Creating & Engaging with Art: A&S Curriculum
029461,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
029488,REG,Registration Considerations,C,Crosslisted in another department
029488,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
029488,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
029548,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
029548,REG,Registration Considerations,C,Crosslisted in another department
029548,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
029548,TRIN,A&S Curriculum,WR,(WR) Writing: A&S Curriculum
029548,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
029557,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
029557,REG,Registration Considerations,C,Crosslisted in another department
029557,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
029557,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
029611,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
029611,REG,Registration Considerations,L,Satisfactory/Unsatisfactory Only
029629,INTR,Interest Area,SL,Service Learning Course
029629,REG,Registration Considerations,C,Crosslisted in another department
029629,REG,Registration Considerations,L,Satisfactory/Unsatisfactory Only
029802,REG,Registration Considerations,C,Crosslisted in another department
029802,REG,Registration Considerations,L,Satisfactory/Unsatisfactory Only
029822,INTR,Interest Area,SL,Service Learning Course
029822,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
029822,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
029873,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
029873,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
029874,REG,Registration Considerations,C,Crosslisted in another department
029874,REG,Registration Considerations,L,Satisfactory/Unsatisfactory Only
030157,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
030157,INTR,Interest Area,SL,Service Learning Course
030157,REG,Registration Considerations,C,Crosslisted in another department
030157,TRIN,A&S Curriculum,CE,(CE) Creating & Engaging with Art: A&S Curriculum
030157,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
030383,CN,Constellation Course,C000,Constellation Course
030383,CN,Constellation Course,C006,Education
030383,INTR,Interest Area,SL,Service Learning Course
030383,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
030439,CN,Constellation Course,C000,Constellation Course
030439,CN,Constellation Course,C001,AI and Human Experiences
030439,REG,Registration Considerations,C,Crosslisted in another department
030439,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
030441,CN,Constellation Course,C000,Constellation Course
030441,CN,Constellation Course,C006,Education
030441,REG,Registration Considerations,C,Crosslisted in another department
030441,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
030448,CN,Constellation Course,C000,Constellation Course
030448,CN,Constellation Course,C006,Education
030448,REG,Registration Considerations,C,Crosslisted in another department
030448,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
030552,CN,Constellation Course,C000,Constellation Course
030552,CN,Constellation Course,C014,Sports and Society
030552,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
030627,CN,Constellation Course,C000,Constellation Course
030627,CN,Constellation Course,C006,Education
030627,TRIN,A&S Curriculum,CE,(CE) Creating & Engaging with Art: A&S Curriculum
030657,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
030657,REG,Registration Considerations,C,Crosslisted in another department
030657,REG,Registration Considerations,TR,Travel Required
030657,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
030657,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
030752,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
030752,REG,Registration Considerations,C,Crosslisted in another department
030752,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
030752,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
030879,CN,Constellation Course,C000,Constellation Course
030879,CN,Constellation Course,C006,Education
030879,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
030880,CN,Constellation Course,C000,Constellation Course
030880,CN,Constellation Course,C006,Education
030880,INTR,Interest Area,SL,Service Learning Course
030880,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
003765,USE,Curriculum-Areas of Knowledge,QS,(QS) Quantitative Studies
003775,REG,Registration Considerations,C,Crosslisted in another department
003775,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
020350,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
020350,REG,Registration Considerations,G,Course has discussion
020350,USE,Curriculum-Areas of Knowledge,NS,(NS) Natural Sciences
020350,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
023172,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
025290,INTR,Interest Area,SL,Service Learning Course
026545,INTR,Interest Area,SL,Service Learning Course
026545,REG,Registration Considerations,L,Satisfactory/Unsatisfactory Only
029489,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
029489,REG,Registration Considerations,C,Crosslisted in another department
029500,REG,Registration Considerations,S,Summer Session Bulletin
029850,TRIN,A&S Curriculum,QC,(QC) Quant & Comp Reasoning: A&S Curriculum
029863,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
029863,INTR,Interest Area,SL,Service Learning Course
029863,REG,Registration Considerations,C,Crosslisted in another department
030085,INTR,Interest Area,SL,Service Learning Course
030085,REG,Registration Considerations,C,Crosslisted in another department
030085,REG,Registration Considerations,TR,Travel Required
030462,REG,Registration Considerations,C,Crosslisted in another department
024844,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
024845,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
024846,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
024847,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
025205,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
026979,REG,Registration Considerations,IN,Internet Course
027046,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
027047,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
027047,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
004170,REG,Registration Considerations,C,Crosslisted in another department
004170,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
004170,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
017292,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
017292,REG,Registration Considerations,C,Crosslisted in another department
017292,TRIN,A&S Curriculum,NW,(NW) Investigating Natural World: A&S Curriculum
017292,USE,Curriculum-Areas of Knowledge,NS,(NS) Natural Sciences
017292,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
018260,REG,Registration Considerations,C,Crosslisted in another department
020412,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
020412,REG,Registration Considerations,C,Crosslisted in another department
020412,TRIN,A&S Curriculum,NW,(NW) Investigating Natural World: A&S Curriculum
020412,USE,Curriculum-Areas of Knowledge,NS,(NS) Natural Sciences
021400,REG,Registration Considerations,C,Crosslisted in another department
021416,REG,Registration Considerations,C,Crosslisted in another department
021416,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
021416,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
021424,REG,Registration Considerations,C,Crosslisted in another department
021555,REG,Registration Considerations,C,Crosslisted in another department
021562,REG,Registration Considerations,C,Crosslisted in another department
021575,REG,Registration Considerations,C,Crosslisted in another department
021575,REG,Registration Considerations,FEE,Additional Fee Required
021575,REG,Registration Considerations,S,Summer Session Bulletin
021575,REG,Registration Considerations,TR,Travel Required
021831,REG,Registration Considerations,C,Crosslisted in another department
021872,REG,Registration Considerations,C,Crosslisted in another department
021935,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
021935,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
